# Possibilities.csv																																		
# Massive list of possibilities to choose from	1	0	-100	0	0	0	-4	-4	-4	-4	-4	0	6	100	23	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
# Home alone things (Weekend)																																		
#	BW	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R	D	Y	T	W	A	H	T	E	I	S	R
Cook some lentils	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Cook something you've never tried before	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Read some webcomics	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Watch some anime	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Watch Westworld Season 2	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Do some yoga	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Find a new exercise video and try that	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Do laundry	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Space out for a while	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Take a nap	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Read a book	1	5	-100	5	0	0	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
# Home together things (Weekend)																																		
Cook some lentils together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Cook something neither of you have cooked before	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Watch Westworld Season 2 together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Do some yoga together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Try a new exercise video together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Space out together for awhile	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Talk about your innermost feelings	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Complain about your stressful weeks	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Just lay on the couch	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Complain about your roommate	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Read books together	1	5	-100	5	0	1	-4	-4	-4	-4	-4	0	6	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
																																		
																																		
# Home alone things (Weekday evenings)																																		
Cook some lentils	1	0	-100	18	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Cook something you've never tried before	1	0	-100	18	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Read some webcomics	1	0	-100	18	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Watch some anime	1	0	-100	18	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
Watch Westworld Season 2	1	0	-100	18	0	0	-4	-4	-4	-4	-4	0	4	100	21	4	1	4	4	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0
